Date,Open,High,Low,Close,Adj Close,Volume
2004-08-09,43.540001,43.880001,43.060001,43.169998,34.401714,1650700
2004-08-16,43.480000,44.889999,43.270000,44.820000,35.716572,1581300
2004-08-23,44.799999,45.380001,44.540001,45.340000,36.130970,907900
2004-08-30,45.279999,45.700001,44.520000,45.400002,36.178787,847200
2004-09-06,45.820000,45.930000,45.259998,45.919998,36.593166,576000
2004-09-13,45.939999,46.290001,45.720001,46.040001,36.688797,2150600
2004-09-20,45.680000,46.139999,45.049999,45.049999,35.899868,1264900
2004-09-27,45.049999,45.990002,44.570000,45.980000,36.722988,2473700
2004-10-04,46.209999,46.459999,45.150002,45.180000,36.084053,1849200
2004-10-11,45.450001,45.590000,44.459999,44.689999,35.692707,1469700
2004-10-18,44.549999,45.439999,44.450001,44.450001,35.501011,1317600
2004-10-25,44.360001,46.080002,44.169998,45.820000,36.595200,4546900
2004-11-01,45.910000,47.570000,45.759998,47.380001,37.841122,2557200
2004-11-08,47.369999,47.990002,47.099998,47.970001,38.312347,1263700
2004-11-15,48.099998,48.360001,47.430000,47.490002,37.928993,5471300
2004-11-22,47.490002,48.070000,47.250000,47.930000,38.280396,4680800
2004-11-29,48.070000,49.000000,47.490002,48.590000,38.807533,3732000
2004-12-06,48.599998,48.720001,47.849998,48.470001,38.711685,4458900
2004-12-13,48.720001,49.250000,48.400002,48.700001,38.895374,3367900
2004-12-20,48.990002,49.200001,48.349998,48.900002,39.055119,4127800
2004-12-27,49.150002,49.349998,48.660000,49.150002,39.460358,5360600
2005-01-03,49.150002,49.450001,47.689999,48.000000,38.537067,5749400
2005-01-10,48.049999,48.430000,47.549999,47.930000,38.480865,3457600
2005-01-17,47.980000,48.340000,46.930000,46.930000,37.678020,2610200
2005-01-24,47.160000,47.400002,46.630001,47.110001,37.822521,2664300
2005-01-31,47.599998,48.180000,47.270000,48.169998,38.673550,3211000
2005-02-07,48.299999,48.380001,47.540001,48.169998,38.673550,1836200
2005-02-14,48.299999,48.549999,47.810001,48.080002,38.601292,5759600
2005-02-21,47.740002,48.320000,47.310001,48.240002,38.729759,5352000
2005-02-28,48.279999,48.700001,47.770000,48.630001,39.042885,3240300
2005-03-07,48.590000,49.020000,47.740002,47.880001,38.440716,4759100
2005-03-14,48.070000,48.299999,46.959999,47.169998,37.870693,2382700
2005-03-21,47.099998,47.320000,46.660000,46.830002,37.597733,2372100
2005-03-28,47.020000,47.299999,46.419998,46.520000,37.459301,6634400
2005-04-04,46.349998,47.540001,46.299999,47.009998,37.853867,2042700
2005-04-11,47.160000,47.320000,45.650002,45.660000,36.766811,3092000
2005-04-18,45.849998,46.330002,45.320000,45.900002,36.960052,3834900
2005-04-25,46.220001,46.410000,45.349998,46.009998,37.048637,4537200
2005-05-02,46.029999,47.160000,46.009998,46.730000,37.628403,2614400
2005-05-09,46.980000,47.119999,46.320000,46.799999,37.684776,2256600
2005-05-16,46.799999,48.240002,46.700001,48.110001,38.739613,3084000
2005-05-23,48.130001,48.599998,47.950001,48.560001,39.101971,4292000
2005-05-30,48.669998,48.889999,47.380001,48.439999,39.005325,5556400
2005-06-06,48.349998,49.020000,48.130001,48.310001,38.900665,2875200
2005-06-13,48.400002,49.200001,48.230000,48.900002,39.375755,3903800
2005-06-20,48.750000,49.139999,47.820000,47.820000,38.506100,3016700
2005-06-27,47.900002,48.599998,47.669998,48.180000,38.861141,7158400
2005-07-04,48.090000,49.099998,47.750000,49.009998,39.530617,2166900
2005-07-11,49.150002,49.980000,49.080002,49.849998,40.208130,3842900
2005-07-18,49.770000,50.419998,49.619999,50.160000,40.458179,3184600
2005-07-25,50.250000,50.750000,49.849998,50.439999,40.684010,4220300
2005-08-01,50.389999,50.900002,49.970001,50.080002,40.393669,2420400
2005-08-08,50.259998,50.570000,49.740002,50.020000,40.345272,2880900
2005-08-15,49.810001,50.299999,49.459999,49.599998,40.006504,2653200
2005-08-22,49.840000,49.990002,48.980000,49.000000,39.522533,6118200
2005-08-29,49.020000,50.570000,48.750000,49.540001,39.958092,4584000
2005-09-05,49.730000,50.509998,49.599998,50.439999,40.684010,1534300
2005-09-12,50.419998,50.830002,49.689999,50.040001,40.361404,2776100
2005-09-19,50.020000,50.049999,48.669998,49.080002,39.587082,2994400
2005-09-26,49.299999,49.830002,48.900002,49.830002,40.273136,3562600
2005-10-03,49.660000,50.020000,48.139999,48.619999,39.295212,3537700
2005-10-10,48.779999,48.790001,47.630001,48.320000,39.052746,2960300
2005-10-17,48.520000,49.099998,47.869999,48.610001,39.287132,2066700
2005-10-24,48.419998,49.230000,48.099998,48.750000,39.400288,4117700
2005-10-31,49.160000,50.660000,48.889999,50.080002,40.475212,5106200
2005-11-07,50.209999,50.750000,49.849998,50.709999,40.984379,3317200
2005-11-14,50.709999,51.459999,50.419998,51.330002,41.485470,3830400
2005-11-21,51.400002,52.220001,51.250000,52.160000,42.156277,4674700
2005-11-28,52.230000,52.250000,51.430000,52.160000,42.156277,11178600
2005-12-05,52.080002,52.380001,51.500000,51.970001,42.002712,6197300
2005-12-12,52.169998,52.500000,51.520000,52.209999,42.196678,10733100
2005-12-19,51.599998,52.980000,51.250000,52.099998,42.107773,7820200
2005-12-26,52.250000,52.250000,51.009998,51.009998,41.334621,4388000
2006-01-02,51.340000,52.700001,50.849998,52.689999,42.695972,5997300
